device_id,customer_id,device_type,app_version,is_rooted,last_active
dev100098,cust100098,ios,3.5.13,0,50:13.3
dev100099,cust100099,android,2.1.10,0,41:48.4
dev100100,cust100100,ios,2.5.15,0,49:17.6
dev100101,cust100101,feature_phone,3.5.6,0,48:46.9
dev100102,cust100102,android,4.9.19,0,01:39.2
dev100103,cust100103,android,1.2.17,0,44:59.6
dev100104,cust100104,feature_phone,3.6.7,0,25:16.8
dev100105,cust100105,tablet,2.9.13,0,21:22.0
dev100106,cust100106,ios,2.8.12,0,51:05.4
dev100107,cust100107,tablet,2.4.16,1,54:31.4
dev100108,cust100108,tablet,2.4.4,0,29:41.4
dev100109,cust100109,tablet,3.3.1,0,32:13.9
dev100110,cust100110,tablet,3.8.10,0,04:50.0
dev100111,cust100111,android,2.1.7,0,16:07.7
dev100112,cust100112,feature_phone,4.0.2,0,35:22.6
dev100113,cust100113,ios,1.8.1,0,44:43.8
dev100114,cust100114,tablet,3.4.20,0,43:41.2
dev100115,cust100115,ios,3.7.4,0,32:41.8
dev100116,cust100116,tablet,2.6.6,0,29:21.6
dev100117,cust100117,tablet,3.2.14,0,54:30.5
dev100118,cust100118,tablet,2.9.2,0,06:58.6
dev100119,cust100119,ios,2.4.13,0,18:55.9
dev100120,cust100120,android,1.6.13,0,26:45.2
dev100121,cust100121,feature_phone,2.9.14,0,01:40.8
dev100122,cust100122,android,1.5.13,0,22:16.7
dev100123,cust100123,feature_phone,4.3.9,0,16:28.3
dev100124,cust100124,ios,2.2.19,0,27:43.1
dev100125,cust100125,feature_phone,1.1.17,0,19:58.2
dev100126,cust100126,ios,3.9.1,0,39:22.0
dev100127,cust100127,android,4.4.15,0,35:20.5
dev100128,cust100128,feature_phone,1.8.7,0,57:14.8
dev100129,cust100129,feature_phone,3.5.14,1,22:49.5
dev100130,cust100130,feature_phone,3.6.17,0,25:19.4
dev100131,cust100131,android,3.7.2,0,28:53.1
dev100132,cust100132,android,4.4.20,0,25:31.2
dev100133,cust100133,feature_phone,4.7.5,1,31:13.0
dev100134,cust100134,ios,1.5.16,0,27:19.9
dev100135,cust100135,android,1.0.15,0,53:19.5
dev100136,cust100136,ios,3.2.9,0,18:21.1
dev100137,cust100137,android,4.0.4,0,05:03.9
dev100138,cust100138,ios,4.1.5,0,16:08.6
dev100139,cust100139,feature_phone,2.3.16,0,37:15.3
dev100140,cust100140,android,1.9.18,0,35:12.5
dev100141,cust100141,ios,4.0.19,0,33:01.7
dev100142,cust100142,tablet,3.7.0,0,10:14.3
dev100143,cust100143,feature_phone,1.6.0,0,49:20.1
dev100144,cust100144,ios,3.1.4,0,55:51.5
dev100145,cust100145,tablet,3.9.13,0,46:48.3
dev100146,cust100146,ios,1.8.0,0,07:16.5
dev100147,cust100147,android,3.1.3,0,20:05.4
dev100148,cust100148,android,4.8.4,0,15:59.7
dev100149,cust100149,tablet,2.4.17,0,19:35.9
dev100150,cust100150,tablet,4.3.20,0,08:49.3
dev100151,cust100151,ios,4.4.3,0,55:30.9
dev100152,cust100152,tablet,2.8.15,0,19:17.0
dev100153,cust100153,feature_phone,2.4.16,0,10:22.6
dev100154,cust100154,tablet,4.5.20,0,35:32.1
dev100155,cust100155,android,4.8.9,0,36:22.0
dev100156,cust100156,android,3.7.16,0,54:58.4
dev100157,cust100157,ios,2.0.14,0,18:37.9
dev100158,cust100158,tablet,2.2.3,0,36:01.4
dev100159,cust100159,feature_phone,2.7.9,0,30:22.4
dev100160,cust100160,feature_phone,4.0.1,0,17:15.1
dev100161,cust100161,tablet,3.8.18,0,14:58.7
dev100162,cust100162,ios,2.9.19,0,29:53.9
dev100163,cust100163,android,4.3.19,0,50:52.3
dev100164,cust100164,ios,4.6.18,0,08:52.7
dev100165,cust100165,feature_phone,3.5.1,0,18:37.8
dev100166,cust100166,tablet,3.2.4,0,43:31.2
dev100167,cust100167,android,2.9.3,0,42:24.0
dev100168,cust100168,tablet,4.1.0,0,32:05.4
dev100169,cust100169,feature_phone,3.6.15,0,10:48.3
dev100170,cust100170,tablet,3.8.11,0,24:17.1
dev100171,cust100171,feature_phone,3.6.20,0,45:28.6
dev100172,cust100172,ios,3.5.18,0,26:01.3
dev100173,cust100173,tablet,4.1.2,0,08:24.1
dev100174,cust100174,android,4.4.9,0,27:54.6
dev100175,cust100175,ios,4.4.15,0,43:50.3
dev100176,cust100176,feature_phone,3.9.10,0,01:37.3
dev100177,cust100177,ios,1.9.17,0,34:27.5
dev100178,cust100178,android,4.3.12,0,57:36.4
dev100179,cust100179,tablet,3.8.15,0,21:51.6
dev100180,cust100180,ios,1.8.13,0,55:07.3
dev100181,cust100181,ios,1.4.18,0,21:49.8
dev100182,cust100182,feature_phone,4.9.16,0,23:34.8
dev100183,cust100183,ios,2.1.19,0,28:45.5
dev100184,cust100184,android,2.1.0,0,13:36.0
dev100185,cust100185,tablet,1.8.13,1,15:01.4
dev100186,cust100186,ios,4.7.17,0,52:31.6
dev100187,cust100187,android,2.5.15,0,31:40.7
dev100188,cust100188,tablet,4.7.7,0,12:40.1
dev100189,cust100189,ios,4.0.14,0,46:14.9
dev100190,cust100190,tablet,1.5.1,0,26:02.0
dev100191,cust100191,android,3.5.10,0,48:09.9
dev100192,cust100192,feature_phone,1.3.17,0,00:05.7
dev100193,cust100193,feature_phone,1.9.12,0,16:57.5
dev100194,cust100194,tablet,4.3.1,0,55:47.4
dev100195,cust100195,feature_phone,4.7.9,0,18:44.0
dev100196,cust100196,tablet,1.6.11,0,22:35.7
dev100197,cust100197,ios,1.0.1,0,06:26.0
dev100198,cust100198,tablet,3.6.3,0,11:37.3
dev100199,cust100199,feature_phone,4.4.3,0,39:13.0
dev100200,cust100200,ios,1.3.5,0,52:17.7
dev100201,cust100201,feature_phone,3.8.14,0,31:22.7
dev100202,cust100202,ios,4.5.11,0,41:02.0
dev100203,cust100203,tablet,1.9.16,1,47:32.4
dev100204,cust100204,ios,4.5.7,0,56:11.8
dev100205,cust100205,ios,3.1.18,0,47:47.4
dev100206,cust100206,android,2.5.14,0,35:21.2
dev100207,cust100207,tablet,3.6.4,0,25:09.5
dev100208,cust100208,feature_phone,3.3.0,0,04:42.5
dev100209,cust100209,tablet,2.8.13,0,33:02.6
dev100210,cust100210,tablet,1.4.6,0,00:10.0
dev100211,cust100211,tablet,3.8.16,0,52:07.5
dev100212,cust100212,ios,1.1.6,0,41:20.1
dev100213,cust100213,feature_phone,2.5.20,0,15:22.5
dev100214,cust100214,feature_phone,1.3.19,0,11:10.4
dev100215,cust100215,tablet,2.2.5,0,26:47.8
dev100216,cust100216,feature_phone,2.1.18,0,46:11.9
dev100217,cust100217,android,2.3.9,0,17:24.6
dev100218,cust100218,tablet,4.3.14,0,40:35.1
dev100219,cust100219,ios,3.4.2,0,34:11.0
dev100220,cust100220,tablet,1.6.7,0,50:54.6
dev100221,cust100221,ios,1.8.12,0,36:39.7
dev100222,cust100222,feature_phone,2.6.1,0,01:10.7
dev100223,cust100223,tablet,2.9.12,0,38:06.2
dev100224,cust100224,android,4.8.2,0,39:43.1
dev100225,cust100225,tablet,3.2.0,0,51:15.2
dev100226,cust100226,ios,1.2.10,0,13:32.6
dev100227,cust100227,android,4.9.5,0,11:31.7
dev100228,cust100228,ios,2.6.1,0,32:59.4
dev100229,cust100229,android,4.0.8,0,17:19.2
dev100230,cust100230,feature_phone,3.7.5,0,10:08.4
dev100231,cust100231,feature_phone,2.7.20,0,18:34.4
dev100232,cust100232,feature_phone,4.4.18,0,25:59.0
dev100233,cust100233,feature_phone,3.5.15,1,32:30.7
dev100234,cust100234,ios,3.7.9,0,51:23.2
dev100235,cust100235,tablet,1.2.11,0,12:11.9
dev100236,cust100236,feature_phone,1.6.12,0,48:46.0
dev100237,cust100237,tablet,1.5.0,0,34:25.8
dev100238,cust100238,ios,2.8.18,0,40:18.7
dev100239,cust100239,ios,3.5.17,0,20:27.9
dev100240,cust100240,tablet,1.4.11,0,38:40.4
dev100241,cust100241,ios,4.4.5,0,03:39.2
dev100242,cust100242,android,1.5.15,0,01:39.9
dev100243,cust100243,tablet,4.7.18,0,47:52.6
dev100244,cust100244,feature_phone,3.9.4,0,38:29.8
dev100245,cust100245,tablet,4.0.13,0,41:57.6
dev100246,cust100246,ios,1.0.4,0,49:23.2
dev100247,cust100247,feature_phone,3.3.18,0,24:05.8
dev100248,cust100248,android,3.9.19,0,22:00.1
dev100249,cust100249,ios,3.5.15,0,42:23.2
dev100250,cust100250,ios,1.9.15,0,27:26.7
dev100251,cust100251,tablet,4.0.0,0,52:53.9
dev100252,cust100252,tablet,3.8.12,0,15:38.0
dev100253,cust100253,android,3.5.5,0,22:59.1
dev100254,cust100254,tablet,2.6.8,0,28:05.1
dev100255,cust100255,android,1.7.0,0,20:37.0
dev100256,cust100256,ios,4.8.7,0,03:58.7
dev100257,cust100257,android,2.2.11,0,03:05.2
dev100258,cust100258,ios,3.9.15,0,45:32.5
dev100259,cust100259,android,1.1.10,0,29:47.7
dev100260,cust100260,tablet,2.2.16,0,25:18.5
dev100261,cust100261,android,3.1.20,0,41:18.3
dev100262,cust100262,tablet,3.3.13,0,12:30.6
dev100263,cust100263,feature_phone,2.9.13,0,45:06.6
dev100264,cust100264,android,2.4.17,0,51:42.7
dev100265,cust100265,tablet,2.2.15,0,11:47.1
dev100266,cust100266,tablet,2.7.6,0,18:06.3
dev100267,cust100267,android,4.5.10,0,30:32.9
dev100268,cust100268,tablet,1.4.8,0,45:50.9
dev100269,cust100269,feature_phone,3.6.4,0,45:14.9
dev100270,cust100270,ios,4.6.11,1,27:14.9
dev100271,cust100271,android,1.4.14,0,20:59.6
dev100272,cust100272,android,1.3.7,0,59:48.4
dev100273,cust100273,ios,4.0.6,0,21:38.4
dev100274,cust100274,ios,3.2.17,0,53:47.9
dev100275,cust100275,android,2.1.10,0,20:29.3
dev100276,cust100276,android,1.5.6,0,22:02.3
dev100277,cust100277,tablet,4.8.6,0,50:14.1
dev100278,cust100278,tablet,2.5.1,0,11:40.8
dev100279,cust100279,feature_phone,1.8.13,0,11:33.0
dev100280,cust100280,ios,2.4.5,0,16:02.6
dev100281,cust100281,ios,2.3.11,0,26:43.8
dev100282,cust100282,feature_phone,3.3.1,0,41:07.6
dev100283,cust100283,android,1.2.11,0,08:27.7
dev100284,cust100284,ios,4.4.19,0,14:20.2
dev100285,cust100285,tablet,3.8.1,1,20:58.4
dev100286,cust100286,tablet,4.0.13,1,43:09.7
dev100287,cust100287,feature_phone,3.0.5,0,03:55.1
dev100288,cust100288,tablet,1.1.2,0,37:12.0
dev100289,cust100289,ios,3.2.9,0,44:11.1
dev100290,cust100290,tablet,3.4.14,0,43:31.8
dev100291,cust100291,android,2.6.6,0,52:28.7
dev100292,cust100292,feature_phone,4.4.19,0,14:22.9
dev100293,cust100293,ios,1.5.17,0,20:23.4
dev100294,cust100294,feature_phone,1.2.9,0,04:00.0
dev100295,cust100295,android,3.0.16,0,25:21.8
dev100296,cust100296,android,2.5.5,0,02:56.3
dev100297,cust100297,ios,1.8.11,0,28:54.3
dev100298,cust100298,feature_phone,2.0.12,0,07:50.9
dev100299,cust100299,android,4.0.20,0,27:33.7
dev100300,cust100300,android,4.7.20,0,55:35.6
dev100301,cust100301,tablet,3.1.15,0,57:43.2
dev100302,cust100302,ios,3.6.3,0,21:22.3
dev100303,cust100303,tablet,4.8.8,0,39:20.2
dev100304,cust100304,ios,3.7.3,0,59:52.9
dev100305,cust100305,tablet,2.7.5,0,37:13.4
dev100306,cust100306,tablet,1.9.6,0,09:02.7
dev100307,cust100307,ios,1.9.17,0,03:02.6
dev100308,cust100308,android,2.8.19,0,18:46.9
dev100309,cust100309,android,2.1.17,0,15:11.3
dev100310,cust100310,feature_phone,1.7.10,0,30:11.6
dev100311,cust100311,android,3.0.19,0,20:02.8
dev100312,cust100312,ios,1.8.0,0,29:31.4
dev100313,cust100313,tablet,3.8.5,0,08:09.3
dev100314,cust100314,tablet,1.8.3,0,09:08.7
dev100315,cust100315,android,1.0.19,0,11:20.0
dev100316,cust100316,ios,2.0.19,0,20:25.1
dev100317,cust100317,feature_phone,4.2.17,0,10:17.6
dev100318,cust100318,tablet,3.6.16,0,20:00.1
dev100319,cust100319,android,4.1.12,0,05:22.7
dev100320,cust100320,feature_phone,3.6.2,0,14:29.5
dev100321,cust100321,feature_phone,3.2.1,0,04:55.7
dev100322,cust100322,feature_phone,3.5.1,1,17:58.8
dev100323,cust100323,feature_phone,3.0.12,0,17:56.1
dev100324,cust100324,ios,2.3.6,0,47:23.2
dev100325,cust100325,feature_phone,3.0.8,0,36:47.7
dev100326,cust100326,android,4.8.6,0,56:13.6
dev100327,cust100327,feature_phone,1.3.4,0,36:11.5
dev100328,cust100328,ios,3.4.0,0,31:33.0
dev100329,cust100329,ios,4.9.7,0,38:15.6
dev100330,cust100330,tablet,4.2.17,0,35:42.0
dev100331,cust100331,ios,2.2.1,0,09:26.4
dev100332,cust100332,feature_phone,1.2.2,0,49:41.0
dev100333,cust100333,tablet,3.8.5,0,21:32.8
dev100334,cust100334,android,1.8.20,0,03:48.1
dev100335,cust100335,tablet,4.0.20,0,05:46.2
dev100336,cust100336,ios,4.9.19,0,17:48.9
dev100337,cust100337,android,2.3.8,0,20:33.6
dev100338,cust100338,feature_phone,3.6.3,0,35:18.6
dev100339,cust100339,ios,3.3.11,0,45:49.9
dev100340,cust100340,android,1.2.12,0,37:36.4
dev100341,cust100341,feature_phone,4.3.12,0,47:32.0
dev100342,cust100342,ios,3.9.16,0,36:47.0
dev100343,cust100343,android,1.1.1,0,22:50.9
dev100344,cust100344,android,1.3.20,0,38:26.1
dev100345,cust100345,tablet,4.8.19,0,59:35.2
dev100346,cust100346,tablet,3.4.17,0,10:42.8
dev100347,cust100347,feature_phone,1.2.19,0,12:46.6
dev100348,cust100348,android,4.4.9,0,06:11.6
dev100349,cust100349,ios,4.2.11,0,06:56.7
dev100350,cust100350,android,2.4.4,0,59:34.8
dev100351,cust100351,ios,2.9.14,0,23:46.9
dev100352,cust100352,tablet,1.6.10,0,58:52.6
dev100353,cust100353,ios,1.5.8,0,38:58.5
dev100354,cust100354,ios,2.0.11,0,46:11.0
dev100355,cust100355,ios,2.6.18,0,58:23.7
dev100356,cust100356,feature_phone,2.4.11,0,47:04.5
dev100357,cust100357,ios,4.4.4,0,42:37.3
dev100358,cust100358,ios,3.0.15,0,20:56.8
dev100359,cust100359,android,1.4.3,0,12:41.8
dev100360,cust100360,ios,2.3.0,0,14:21.7
dev100361,cust100361,tablet,2.6.5,0,05:13.9
dev100362,cust100362,android,1.3.7,0,09:28.7
dev100363,cust100363,ios,1.7.10,0,27:23.3
dev100364,cust100364,tablet,1.0.17,0,03:50.9
dev100365,cust100365,feature_phone,3.9.14,0,44:56.3
dev100366,cust100366,ios,3.8.6,0,36:31.3
dev100367,cust100367,tablet,3.2.8,0,31:53.5
dev100368,cust100368,feature_phone,4.8.3,0,40:27.3
dev100369,cust100369,tablet,4.9.0,0,56:16.5
dev100370,cust100370,feature_phone,4.8.19,0,21:53.8
dev100371,cust100371,android,1.2.0,0,16:45.9
dev100372,cust100372,android,3.4.17,0,46:43.8
dev100373,cust100373,android,1.3.13,0,30:51.9
dev100374,cust100374,ios,1.4.10,0,45:42.4
dev100375,cust100375,feature_phone,1.4.11,0,25:20.2
dev100376,cust100376,ios,4.3.2,0,48:58.0
dev100377,cust100377,ios,1.8.2,0,01:24.2
dev100378,cust100378,android,2.0.15,0,15:20.9
dev100379,cust100379,feature_phone,4.8.14,0,42:18.3
dev100380,cust100380,tablet,1.3.13,0,18:07.9
dev100381,cust100381,feature_phone,1.4.9,0,46:39.3
dev100382,cust100382,ios,4.4.13,0,03:05.0
dev100383,cust100383,ios,4.8.6,0,14:49.2
dev100384,cust100384,tablet,4.5.7,0,35:08.9
dev100385,cust100385,android,4.8.17,0,28:36.6
dev100386,cust100386,android,1.8.2,0,31:25.4
dev100387,cust100387,ios,4.7.14,0,16:53.3
dev100388,cust100388,feature_phone,1.7.13,0,47:16.7
dev100389,cust100389,ios,1.1.8,0,42:29.9
dev100390,cust100390,ios,4.4.14,0,02:46.6
dev100391,cust100391,ios,4.0.2,0,13:23.1
dev100392,cust100392,android,4.0.13,0,43:43.6
dev100393,cust100393,tablet,1.6.9,0,58:32.4
dev100394,cust100394,android,2.5.4,0,50:34.5
dev100395,cust100395,feature_phone,1.4.9,0,51:36.5
dev100396,cust100396,ios,2.5.19,0,04:29.9
dev100397,cust100397,android,3.5.4,0,48:42.3
dev100398,cust100398,tablet,4.0.10,0,57:21.5
dev100399,cust100399,feature_phone,2.9.6,0,29:25.0
dev100400,cust100400,ios,2.8.19,0,30:37.1
dev100401,cust100401,tablet,4.5.14,0,53:02.4
dev100402,cust100402,feature_phone,1.2.18,0,03:33.8
dev100403,cust100403,feature_phone,4.5.7,0,20:41.3
dev100404,cust100404,android,2.7.3,0,58:01.6
dev100405,cust100405,tablet,3.1.17,0,31:25.1
dev100406,cust100406,android,4.5.5,0,19:40.6
dev100407,cust100407,tablet,2.3.3,0,17:33.7
dev100408,cust100408,android,1.9.4,0,07:14.9
dev100409,cust100409,android,4.6.15,0,17:46.3
dev100410,cust100410,tablet,1.7.12,0,49:00.9
dev100411,cust100411,feature_phone,2.7.15,0,07:19.8
dev100412,cust100412,android,2.7.3,0,12:41.4
dev100413,cust100413,android,4.2.19,0,01:35.6
dev100414,cust100414,android,3.1.14,0,55:43.8
dev100415,cust100415,ios,4.9.12,0,21:09.3
dev100416,cust100416,ios,3.9.4,0,43:20.7
dev100417,cust100417,tablet,4.5.7,0,48:14.5
dev100418,cust100418,ios,3.8.3,0,57:05.7
dev100419,cust100419,android,3.7.20,0,50:30.0
dev100420,cust100420,feature_phone,2.5.1,0,44:27.1
dev100421,cust100421,feature_phone,2.2.1,0,17:11.8
dev100422,cust100422,android,3.0.14,0,06:45.2
dev100423,cust100423,feature_phone,1.8.14,0,07:49.3
dev100424,cust100424,ios,2.6.12,0,56:40.2
dev100425,cust100425,ios,4.3.15,0,03:15.5
dev100426,cust100426,tablet,2.6.14,0,54:19.7
dev100427,cust100427,feature_phone,2.2.19,0,47:41.8
dev100428,cust100428,tablet,4.0.20,0,29:20.0
dev100429,cust100429,android,2.5.1,0,07:36.6
dev100430,cust100430,tablet,3.0.3,0,34:50.0
dev100431,cust100431,feature_phone,1.7.11,0,32:27.3
dev100432,cust100432,android,3.5.15,0,11:43.2
dev100433,cust100433,android,2.0.11,0,52:31.7
dev100434,cust100434,android,4.4.19,0,10:39.1
dev100435,cust100435,ios,1.2.5,0,34:19.4
dev100436,cust100436,ios,3.1.2,0,15:32.5
dev100437,cust100437,android,4.3.20,0,12:42.3
dev100438,cust100438,tablet,1.2.13,0,57:34.7
dev100439,cust100439,ios,1.3.4,0,30:05.1
dev100440,cust100440,feature_phone,1.7.17,0,50:04.4
dev100441,cust100441,tablet,4.1.8,0,02:58.7
dev100442,cust100442,feature_phone,1.6.10,0,35:12.3
dev100443,cust100443,tablet,4.4.4,0,01:27.7
dev100444,cust100444,ios,2.6.18,0,16:21.1
dev100445,cust100445,feature_phone,4.7.1,1,43:27.3
dev100446,cust100446,ios,2.6.0,0,47:55.0
dev100447,cust100447,ios,1.8.7,0,37:07.6
dev100448,cust100448,tablet,3.6.10,0,23:40.1
dev100449,cust100449,tablet,1.3.10,0,38:42.4
dev100450,cust100450,feature_phone,4.0.20,0,44:05.2
dev100451,cust100451,android,2.9.16,0,40:07.6
dev100452,cust100452,tablet,4.1.6,0,15:04.8
dev100453,cust100453,android,1.6.4,0,45:04.8
dev100454,cust100454,android,1.1.15,0,29:41.7
dev100455,cust100455,feature_phone,4.6.10,0,08:16.0
dev100456,cust100456,android,2.8.19,0,19:36.0
dev100457,cust100457,tablet,1.4.18,0,28:14.3
dev100458,cust100458,ios,3.7.9,0,44:16.7
dev100459,cust100459,ios,2.7.5,0,13:16.1
dev100460,cust100460,android,3.1.17,0,19:29.8
dev100461,cust100461,android,4.3.3,0,29:48.8
dev100462,cust100462,feature_phone,1.0.2,0,01:43.8
dev100463,cust100463,ios,3.9.7,0,55:26.8
dev100464,cust100464,ios,3.4.5,0,07:14.7
dev100465,cust100465,android,3.0.3,0,41:06.8
dev100466,cust100466,feature_phone,2.1.17,0,31:33.4
dev100467,cust100467,android,4.4.4,0,17:23.0
dev100468,cust100468,tablet,2.5.12,0,38:42.2
dev100469,cust100469,feature_phone,3.2.2,0,07:19.6
dev100470,cust100470,feature_phone,2.6.0,0,04:27.7
dev100471,cust100471,ios,4.4.19,0,37:08.8
dev100472,cust100472,ios,3.1.10,0,24:45.6
dev100473,cust100473,tablet,2.0.0,0,01:16.7
dev100474,cust100474,android,1.8.3,0,20:01.5
dev100475,cust100475,android,4.7.12,0,24:31.8
dev100476,cust100476,android,2.1.13,0,30:38.3
dev100477,cust100477,tablet,1.1.5,0,56:37.0
dev100478,cust100478,tablet,1.6.0,0,49:43.8
dev100479,cust100479,feature_phone,3.2.1,0,12:14.8
dev100480,cust100480,ios,3.4.9,0,24:13.6
dev100481,cust100481,android,1.0.6,0,30:38.8
dev100482,cust100482,feature_phone,1.4.17,0,12:16.0
dev100483,cust100483,tablet,4.4.12,0,47:51.7
dev100484,cust100484,android,2.3.8,0,42:13.1
dev100485,cust100485,android,4.1.1,0,17:38.9
dev100486,cust100486,tablet,1.1.1,0,25:18.0
dev100487,cust100487,tablet,1.7.6,0,56:52.3
dev100488,cust100488,tablet,4.0.18,0,24:13.7
dev100489,cust100489,feature_phone,3.5.15,0,16:53.3
dev100490,cust100490,ios,4.2.20,0,44:34.2
dev100491,cust100491,ios,3.2.11,0,51:54.3
dev100492,cust100492,feature_phone,1.3.17,0,48:58.0
dev100493,cust100493,tablet,4.9.1,0,00:49.9
dev100494,cust100494,tablet,3.3.1,0,11:49.6
dev100495,cust100495,feature_phone,3.6.20,0,02:19.0
dev100496,cust100496,tablet,2.5.2,0,29:37.2
dev100497,cust100497,android,1.7.2,0,14:26.9
dev100498,cust100498,tablet,1.0.11,0,05:00.7
dev100499,cust100499,feature_phone,2.9.17,0,08:51.6
dev100500,cust100500,tablet,3.2.7,0,01:24.9
dev100501,cust100501,tablet,4.2.15,0,32:07.3
dev100502,cust100502,android,4.8.17,0,51:35.0
dev100503,cust100503,android,3.5.12,0,30:04.4
